"","race","age","engnat","gender","hand","source","country","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","N1","N2","N3","N4","N5","N6","N7","N8","N9","N10","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","O1","O2","O3","O4","O5","O6","O7","O8","O9","O10"
"79",3,43,1,1,0,1,"CA",1,4,5,5,3,4,3,5,4,5,2,5,4,1,3,4,4,5,2,4,2,5,1,3,5,5,3,2,2,5,4,5,4,1,3,4,3,1,1,3,4,1,1,2,4,1,5,5,1,5
"80",4,40,1,2,1,1,"CA",3,2,5,3,5,2,5,5,3,3,5,1,5,3,5,5,1,2,3,3,1,5,1,5,3,5,1,5,5,5,3,1,3,3,3,4,5,3,5,5,3,1,3,1,5,3,5,1,5,3
"81",1,21,1,2,1,2,"CA",2,3,4,3,5,3,4,4,3,3,2,4,2,3,3,3,3,2,2,3,2,5,1,5,2,3,1,5,4,4,2,5,2,4,1,5,2,2,3,3,4,1,5,1,4,1,5,3,5,4
"82",3,26,2,2,1,1,"CA",4,2,4,3,4,2,5,2,5,3,3,3,4,3,2,3,4,3,1,3,1,5,1,4,1,5,1,4,5,5,3,3,4,4,3,4,4,3,2,3,4,2,5,2,4,1,4,3,4,4
"83",3,30,1,2,1,2,"CA",1,3,2,4,4,4,4,2,1,3,5,2,5,1,4,5,4,5,5,4,1,3,3,4,3,4,3,4,4,3,4,4,4,4,2,3,4,2,5,3,3,3,5,3,3,4,3,4,5,4
"84",3,31,1,1,2,2,"CA",2,1,4,3,3,1,2,4,2,4,5,2,5,1,2,4,5,3,5,5,1,4,1,4,2,5,2,2,2,3,3,4,5,4,1,5,4,3,2,4,5,1,2,1,5,1,4,4,4,5
"85",6,16,1,2,1,1,"CA",1,4,5,5,1,4,1,5,1,5,3,1,4,1,1,1,4,5,3,5,5,3,1,5,1,4,1,5,5,1,5,2,5,1,1,3,1,1,1,5,1,4,5,5,4,1,5,1,1,5
"86",1,17,1,2,1,5,"CA",3,2,4,5,4,2,3,5,1,5,3,4,4,2,4,5,2,2,3,2,4,5,3,4,4,5,1,3,4,4,4,1,4,2,3,3,4,3,4,3,2,4,5,1,3,2,3,1,4,4
"87",3,16,1,1,2,1,"CA",2,3,1,5,3,2,2,3,2,5,5,2,4,1,5,3,4,4,4,5,1,3,2,5,1,5,1,5,5,4,3,4,2,3,1,5,4,3,1,3,5,2,3,1,5,3,5,5,5,5
"88",5,32,2,1,1,1,"CA",2,4,2,4,2,1,2,4,2,4,4,3,4,2,4,4,4,4,4,3,4,4,4,4,2,3,4,3,4,3,4,4,4,3,2,4,4,2,2,4,4,2,4,2,4,2,4,3,4,3
"89",1,22,1,2,1,1,"CA",4,5,5,5,5,1,5,1,5,5,2,4,2,4,1,1,5,5,5,2,5,5,4,4,2,2,2,2,4,5,5,5,5,5,4,2,5,1,5,5,5,5,1,5,5,5,5,5,5,4
"90",11,30,1,1,1,1,"CA",2,2,3,4,4,2,3,5,2,2,2,4,4,2,4,4,4,4,4,4,1,4,2,4,2,4,2,4,4,4,2,4,4,3,1,5,2,4,1,2,4,2,3,2,4,2,3,4,4,4
"91",3,26,2,1,1,5,"CA",1,4,4,4,2,1,3,5,4,5,5,4,4,1,4,4,4,3,4,4,4,4,1,5,2,5,2,3,4,3,4,4,5,4,4,2,4,4,4,4,4,1,4,1,5,2,4,5,5,5
"92",3,27,1,2,1,1,"CA",4,1,5,2,5,1,4,3,5,2,4,4,4,2,2,4,2,2,4,4,1,5,2,5,1,5,1,5,5,5,3,5,3,3,1,5,3,3,3,2,5,1,5,2,5,1,3,5,5,5
"93",13,15,1,1,1,1,"CA",1,3,3,3,2,4,1,4,1,4,4,2,4,3,3,3,5,2,3,3,4,3,1,4,2,4,3,3,4,4,5,2,5,1,4,2,5,2,5,5,5,3,4,3,5,4,4,4,3,4
"94",3,49,1,2,1,2,"CA",3,2,5,2,5,2,5,3,5,2,1,4,2,5,1,1,1,1,1,1,1,5,1,4,1,4,1,5,3,4,4,1,5,1,4,1,3,1,1,4,4,2,2,1,4,1,4,2,5,4
"95",0,45,1,1,1,1,"CA",3,4,2,4,2,4,2,4,2,5,4,3,4,2,4,4,4,3,4,2,1,2,2,4,2,5,2,4,4,4,3,1,5,2,4,1,4,2,4,4,3,2,5,2,3,2,4,4,5,4
"96",1,24,1,2,1,2,"CA",2,1,5,2,5,1,4,2,4,2,3,4,4,1,2,2,3,3,3,3,1,5,2,5,1,4,1,5,4,4,4,5,4,4,2,4,4,2,2,4,5,1,5,1,4,1,4,4,5,3
"97",3,25,1,1,1,1,"CA",1,3,3,3,2,3,2,4,5,4,2,4,3,3,3,4,4,3,4,1,4,4,4,2,4,2,4,2,2,4,3,4,2,3,3,4,3,2,3,4,2,2,5,1,4,1,4,2,5,5
"98",3,18,1,1,1,1,"CA",4,1,5,1,5,1,5,1,5,1,5,3,5,3,2,2,4,5,2,4,2,4,1,5,2,5,1,4,5,5,4,1,3,4,3,1,4,1,3,3,4,1,5,1,5,1,4,3,5,5
"99",13,25,1,2,1,1,"CA",2,3,4,3,4,2,2,3,4,4,4,2,5,1,3,2,5,4,4,5,2,3,3,4,2,5,3,5,5,5,4,1,4,4,4,1,5,1,4,2,2,4,2,3,3,3,4,1,5,3
"100",3,36,1,1,1,2,"CA",3,3,4,3,4,3,3,2,4,3,2,4,2,4,2,5,2,2,5,2,4,3,3,2,5,5,3,2,2,3,1,5,4,1,1,4,4,2,5,5,4,2,5,5,4,1,5,4,5,5
"101",11,25,2,1,1,2,"CA",4,3,5,2,3,3,5,4,5,3,1,5,3,5,1,1,1,1,1,1,1,4,1,5,2,3,3,5,1,5,5,3,4,1,4,3,2,3,3,5,4,1,3,1,3,2,5,3,4,3
"102",6,31,2,2,1,5,"CA",1,4,1,5,3,2,1,5,1,5,5,2,5,1,4,4,4,4,4,4,2,3,3,4,4,4,3,3,4,3,3,4,4,4,2,3,4,2,3,4,5,3,5,3,5,1,3,3,4,5
"103",3,32,2,2,1,1,"CA",4,1,5,1,5,2,5,4,4,2,5,2,5,1,4,5,5,5,5,5,1,5,2,5,1,5,2,5,5,5,1,4,4,5,2,2,1,4,2,4,5,1,5,1,5,1,5,5,5,5
"104",3,34,1,2,3,2,"CA",4,2,5,2,5,1,5,4,4,1,1,5,1,5,1,1,1,1,1,1,1,5,1,5,1,5,1,5,5,5,5,1,5,1,5,1,5,1,5,5,4,1,5,1,4,1,5,4,5,5
"105",3,27,1,2,1,2,"CA",1,2,4,3,4,2,2,2,4,4,4,4,4,1,1,4,4,4,5,4,2,5,2,4,2,4,2,4,3,2,2,5,4,4,1,4,2,2,4,4,4,2,5,2,4,1,5,4,5,4
"106",6,56,1,2,2,1,"CA",3,2,2,3,3,2,2,3,4,3,1,2,5,3,4,3,2,1,4,3,3,3,1,3,3,4,3,2,2,3,3,1,5,3,4,5,4,2,3,5,4,2,5,3,5,1,5,4,5,5
"107",4,29,2,1,1,2,"CA",1,5,3,4,4,2,1,4,5,4,2,2,3,4,1,2,2,1,4,2,2,5,3,3,2,1,3,3,3,4,4,4,3,1,5,5,4,1,2,4,4,1,4,1,3,1,5,2,5,5
"108",1,19,1,2,2,2,"CA",4,1,5,2,5,2,5,3,3,1,2,2,2,5,1,1,1,1,1,1,1,5,1,5,1,5,1,5,5,5,4,1,5,1,5,2,5,3,5,5,3,2,5,1,5,1,4,2,4,5
"109",3,34,1,2,1,1,"CA",3,1,4,3,4,2,4,2,2,4,2,1,5,1,4,4,4,5,5,5,1,5,2,5,1,5,1,4,5,5,3,2,4,1,3,2,2,1,2,3,3,2,5,2,4,2,4,2,4,5
"110",3,34,1,2,1,1,"CA",4,1,5,1,5,2,5,2,4,1,3,5,5,4,5,4,1,3,3,2,1,5,1,5,1,5,1,5,5,5,2,5,5,4,1,5,3,3,2,3,5,1,5,1,3,1,5,5,5,5
"111",3,47,1,2,1,2,"CA",3,3,4,3,5,2,3,3,3,3,2,4,2,4,1,2,2,1,1,1,1,5,1,5,1,3,1,5,4,5,4,4,5,2,4,4,4,1,3,4,4,1,4,2,4,1,4,3,4,4
"112",3,45,1,2,1,1,"CA",3,3,5,4,4,2,4,4,3,2,4,3,4,3,2,3,3,3,2,2,2,4,1,4,2,4,2,4,4,5,5,3,2,2,3,3,3,2,4,3,5,4,4,3,5,2,4,4,4,5
"113",3,32,0,1,1,1,"CA",4,1,4,2,4,2,3,3,4,2,3,4,4,3,3,3,3,3,3,2,1,5,1,5,2,4,2,4,4,4,3,5,4,3,2,3,4,4,3,4,5,2,5,1,4,1,4,3,4,4
"114",3,33,1,1,2,5,"CA",4,5,4,2,5,2,4,2,4,2,3,4,3,3,4,3,4,3,4,3,2,4,4,3,2,4,2,4,4,4,2,4,4,3,2,4,3,3,3,3,2,4,2,4,4,4,3,2,3,3
